"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2024","357.43","354.79","360.64","352.06","13.34M","1.56%"
"12/31/2023","351.95","351.32","353.50","340.01","60.34M","-0.57%"
"12/24/2023","353.96","354.99","361.90","351.82","49.89M","0.16%"
"12/17/2023","353.39","337.48","357.20","337.02","80.16M","5.51%"
"12/10/2023","334.92","329.40","338.66","319.99","112.03M","0.65%"
"12/03/2023","332.75","317.29","333.17","313.66","77.28M","2.44%"
"11/26/2023","324.82","336.18","339.90","320.76","82.77M","-3.96%"
"11/19/2023","338.23","334.89","342.92","334.19","45.19M","0.95%"
"11/12/2023","335.04","326.20","338.40","325.70","82.07M","1.91%"
"11/05/2023","328.77","315.98","329.10","314.45","75.77M","4.50%"
"10/29/2023","314.60","299.09","318.82","296.86","106.70M","6.02%"
"10/22/2023","296.73","309.50","318.35","279.40","175.80M","-3.86%"
"10/15/2023","308.65","318.64","325.94","306.47","90.80M","-1.92%"
"10/08/2023","314.69","312.50","330.54","311.82","105.47M","-0.23%"
"10/01/2023","315.43","302.74","316.31","298.50","91.44M","5.07%"
"09/24/2023","300.21","295.64","310.64","286.79","122.38M","0.38%"
"09/17/2023","299.08","298.19","308.06","293.27","96.23M","-0.41%"
"09/10/2023","300.31","301.41","312.87","298.75","93.66M","0.81%"
"09/03/2023","297.89","297.02","307.05","292.22","81.70M","0.51%"
"08/27/2023","296.38","288.00","301.74","285.80","82.87M","3.81%"
"08/20/2023","285.50","283.45","299.46","276.03","93.53M","0.79%"
"08/13/2023","283.25","300.98","307.23","274.38","105.11M","-6.10%"
"08/06/2023","301.64","313.23","317.89","300.36","79.78M","-2.93%"
"07/30/2023","310.73","323.69","325.66","309.93","101.98M","-4.53%"
"07/23/2023","325.48","295.78","326.20","288.30","195.24M","10.61%"
"07/16/2023","294.26","307.54","318.68","291.20","133.83M","-4.73%"
"07/09/2023","308.87","295.55","316.24","287.05","154.66M","6.31%"
"07/02/2023","290.53","286.70","298.12","284.85","115.81M","1.24%"
"06/25/2023","286.98","288.70","289.79","277.60","102.15M","-0.61%"
"06/18/2023","288.73","278.73","289.67","276.22","109.91M","2.75%"
"06/11/2023","281.00","267.17","287.85","265.33","119.91M","6.06%"
"06/04/2023","264.95","270.30","276.57","258.88","104.18M","-2.81%"
"05/28/2023","272.61","265.25","275.35","258.45","94.32M","4.03%"
"05/21/2023","262.04","245.41","262.31","244.95","111.35M","6.68%"
"05/14/2023","245.64","236.92","248.69","235.33","104.69M","5.06%"
"05/07/2023","233.81","231.41","238.21","230.27","89.00M","0.44%"
"04/30/2023","232.78","238.62","244.92","229.85","132.85M","-3.14%"
"04/23/2023","240.32","213.68","241.68","207.13","187.69M","12.88%"
"04/16/2023","212.89","219.79","220.98","209.58","77.85M","-3.88%"
"04/09/2023","221.49","214.71","222.11","210.66","96.69M","2.49%"
"04/02/2023","216.10","208.84","216.94","208.20","84.45M","1.96%"
"03/26/2023","211.94","204.81","212.17","197.90","104.55M","2.88%"
"03/19/2023","206.01","198.48","207.88","193.64","140.61M","5.32%"
"03/12/2023","195.61","177.96","205.76","174.82","209.46M","8.97%"
"03/05/2023","179.51","188.00","190.36","178.80","141.59M","-3.10%"
"02/26/2023","185.25","171.88","186.62","169.06","159.56M","8.72%"
"02/19/2023","170.39","174.31","178.17","167.66","96.84M","-1.44%"
"02/12/2023","172.88","178.21","181.51","169.70","130.84M","-0.73%"
"02/05/2023","174.15","186.53","193.78","173.35","196.26M","-6.64%"
"01/29/2023","186.53","149.40","197.16","146.95","340.83M","22.93%"
"01/22/2023","151.74","139.29","153.19","138.66","137.32M","8.88%"
"01/15/2023","139.37","136.18","139.94","132.14","98.68M","1.74%"
"01/08/2023","136.98","131.16","137.68","127.15","133.94M","5.35%"
"01/01/2023","130.02","122.82","130.33","122.28","120.96M","8.04%"
"12/25/2022","120.34","117.93","121.03","115.51","82.96M","1.95%"
"12/18/2022","118.04","116.83","120.34","112.46","120.32M","-1.16%"
"12/11/2022","119.43","115.18","124.14","113.14","207.96M","3.05%"
"12/04/2022","115.90","121.75","124.67","112.88","165.28M","-6.15%"
"11/27/2022","123.49","110.78","124.04","108.38","167.08M","10.84%"
"11/20/2022","111.41","111.52","112.73","108.32","86.73M","-0.57%"
