,timestamp,open,high,low,close,volume
0,2023-09-29 19:00:00,130.8800,130.9800,130.5400,130.8400,7037
1,2023-09-29 18:00:00,130.9100,131.0600,130.8600,130.9300,9983
2,2023-09-29 17:00:00,130.9950,138.0070,130.8600,130.9100,34278
3,2023-09-29 16:00:00,130.8200,131.2500,130.7200,130.9900,12774531
4,2023-09-29 15:00:00,131.1400,131.4600,130.4300,130.8100,6115611
5,2023-09-29 14:00:00,130.6000,131.1300,130.3600,131.1300,2395591
6,2023-09-29 13:00:00,131.6100,131.6100,130.6100,130.6100,2280825
7,2023-09-29 12:00:00,132.1700,132.2300,131.5000,131.6100,1994816
8,2023-09-29 11:00:00,132.8350,132.9100,131.7800,132.1700,2769673
9,2023-09-29 10:00:00,133.7300,134.0500,132.8000,132.8250,3234412
10,2023-09-29 09:00:00,133.6500,133.9800,132.3100,133.7100,3907648
11,2023-09-29 08:00:00,133.3500,133.9100,132.3100,133.6900,621147
12,2023-09-29 07:00:00,133.2100,133.4200,132.7000,132.7200,38933
13,2023-09-29 06:00:00,133.6500,133.7100,133.2100,133.2100,10869
14,2023-09-29 05:00:00,133.3900,133.6700,133.2400,133.6500,9035
15,2023-09-29 04:00:00,133.0000,133.6900,133.0000,133.3500,4883
16,2023-09-28 19:00:00,133.0000,133.0600,130.5000,132.8700,15291
17,2023-09-28 18:00:00,132.7800,133.1800,132.7500,132.9200,8126
18,2023-09-28 17:00:00,130.5400,133.1970,130.5400,132.8500,39137
19,2023-09-28 16:00:00,132.3000,133.3800,128.3700,133.2000,5864890
20,2023-09-28 15:00:00,132.2600,132.7800,132.0200,132.3000,3456586
21,2023-09-28 14:00:00,132.3300,132.7950,131.8600,132.2600,1970941
22,2023-09-28 13:00:00,132.7800,133.0000,132.2600,132.3300,2141523
23,2023-09-28 12:00:00,132.5600,133.3000,132.5000,132.7700,2839259
24,2023-09-28 11:00:00,131.1300,132.6500,130.8600,132.5500,3137514
25,2023-09-28 10:00:00,130.4700,131.4200,130.2900,131.1400,2867357
26,2023-09-28 09:00:00,130.4100,130.7520,129.5900,130.5050,2643060
27,2023-09-28 08:00:00,130.8000,131.5800,123.2800,130.4100,95840
28,2023-09-28 07:00:00,130.8800,130.8900,130.2000,130.6800,18964
29,2023-09-28 06:00:00,130.8700,130.9100,130.4900,130.8200,5997
30,2023-09-28 05:00:00,130.7000,130.8900,130.2700,130.8700,5508
31,2023-09-28 04:00:00,130.0000,130.8600,130.0000,130.6900,7399
32,2023-09-27 19:00:00,130.8400,130.9800,130.7500,130.9400,11932
33,2023-09-27 18:00:00,130.9300,130.9900,130.5600,130.8300,10777
34,2023-09-27 17:00:00,130.9000,131.0000,130.8500,130.9970,7934
